PC1,PC2,PC3,label_joint,auxiliary_type
-0.30573457,-8.386709,2.4371674,2,oppolzer
-2.8817787,-0.6450236,-1.2715299,1,evans
-2.8839128,-0.8252811,-1.3361567,1,evans
-0.9307755,1.7812237,-2.7481856,3,evans
-1.1284014,1.7790084,-2.4928923,3,evans
-1.9730065,-1.1359955,-3.1476817,3,evans
6.6844225,2.6570764,-1.0512258,1,evans
-1.0690961,3.7597613,-0.18079363,2,evans
-4.8351507,5.5130954,3.1144793,2,crimmins_thione
-2.0971859,1.158149,-1.7751772,0,evans
4.8872247,5.4582486,-1.7857317,2,evans
-0.46815574,-1.4043084,3.9209628,2,evans
3.3352141,0.48570383,-2.4136653,1,evans
4.1439934,0.6967876,0.3466185,0,evans
4.2360396,0.676329,0.44033122,0,evans
4.611074,0.82242244,-2.6338642,1,evans
4.855882,1.3384279,-1.8983922,1,evans
-0.0031560385,4.499118,2.5799894,2,crimmins_thione
0.67170113,3.3295426,-1.8504367,2,evans
0.4538403,3.2971234,-1.6285424,2,evans
0.67416257,3.2558277,-1.8687756,2,evans
0.66817445,1.3665326,-2.5176198,2,evans
1.0212146,3.7344732,-1.9116982,2,evans
0.95511264,3.7088592,-1.9894365,2,evans
0.96314687,3.7090251,-1.9806432,2,evans
0.7560987,3.690109,-1.7379451,2,evans
-7.1613235,2.4990096,3.9379323,1,crimmins_thione
-7.1582074,2.500438,3.9388688,1,crimmins_thione
3.550707,-1.6195265,5.7152257,1,oppolzer
0.31089506,3.3789904,-1.7535447,2,evans
1.6427139,1.7335677,0.4636996,1,evans
3.906554,-0.65710515,-2.2304192,1,evans
1.6184375,1.5547271,0.3965432,1,evans
1.5200763,-6.2939053,3.4149325,3,oppolzer
1.5200763,-6.2939053,3.4149325,3,oppolzer
3.8162127,1.0276482,-2.0505273,0,evans
3.199543,0.742211,-1.098452,0,evans
5.1077113,1.8381158,-1.8913416,0,evans
5.08139,1.6456382,-1.9674618,0,evans
-0.3394022,0.048547737,-2.7027986,2,evans
-0.36461738,0.044777267,-2.7450013,2,evans
-0.33152387,3.9798565,1.2452415,2,evans
-1.2355068,1.6279734,-2.6931272,2,evans
-0.01527747,-2.4027472,-1.7847214,2,evans
-0.019902434,-2.7060385,-1.8646941,2,evans
3.9405322,0.9914859,-1.8382084,1,evans
3.9010975,0.9316533,-1.8958809,1,evans
-4.4386554,0.8207286,1.0494695,3,crimmins_oxathione
-4.072611,-0.66499954,-1.9606516,1,evans
-5.1222787,-1.6280897,-2.3410704,1,evans
0.95471627,-8.170301,2.6980228,1,oppolzer
-6.228013,-1.2185341,1.689139,2,crimmins_thione
-6.000929,-0.6324995,1.8222289,2,crimmins_thione
-6.000929,-0.6324995,1.8222289,2,crimmins_thione
4.34236,5.4041085,-1.400499,2,evans
0.06290027,-4.693502,9.613042,1,oppolzer
-1.8094678,1.3302041,-2.0565555,2,evans
-4.619692,-3.4365904,-2.912607,2,evans
-4.3727746,-3.2862,-2.8847587,2,evans
-1.5669161,1.4496788,-2.0403397,2,evans
-1.5105729,0.69055563,1.5085131,1,crimmins_thione
-0.9882864,0.5780248,1.483008,1,crimmins_thione
0.37150505,2.7753644,-2.197803,2,evans
0.33931267,2.75059,-2.237009,2,evans
1.1537948,-5.7905464,-2.6056628,0,other_auxiliary
-1.1080455,0.9341301,1.5940312,1,crimmins_thione
-0.6016554,0.81987566,1.5390173,1,crimmins_thione
3.6622086,2.2795582,0.08660828,1,evans
3.6637666,2.2802725,0.087076716,1,evans
-0.7655654,2.9772525,1.5801146,3,evans
1.1677583,2.4738617,-0.7405334,3,evans
1.6370914,1.6885804,0.4468728,1,evans
-1.9713137,-1.2934308,-1.3661733,1,evans
-4.416343,2.3704703,1.8191365,3,crimmins_oxathione
-4.4171224,2.3701134,1.8189021,3,crimmins_oxathione
-6.5834117,4.1763587,3.7202384,3,crimmins_thione
-6.584191,4.1760015,3.7200038,3,crimmins_thione
3.4663193,-0.5031613,-1.4376432,1,evans
-0.2689735,2.0785844,-2.389839,2,evans
