number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
64,0.6261832491915797,2026-05-28 21:58:43.934841,2026-05-28 21:58:47.901906,0 days 00:00:03.967065,0.9581510292935395,0.13895086071071613,0.028728833367818635,6,2,150,0.00033833141208843476,0.9043913671483864,0.9494934114258665,COMPLETE
65,0.6227403621752639,2026-05-28 21:58:47.902561,2026-05-28 21:58:50.009069,0 days 00:00:02.106508,0.8892995489826779,0.015356834066437591,0.0150930413539121,4,2,100,0.0009603191379640194,0.7090900323237909,0.9850317703610666,COMPLETE
66,0.6371412550385749,2026-05-28 21:58:50.009542,2026-05-28 21:58:53.105895,0 days 00:00:03.096353,0.8999752243448469,0.08904688284584872,0.01904170674136886,5,2,150,0.0026602645795956582,1.3013529216988398,0.9556779521582504,COMPLETE
67,0.6244339277591866,2026-05-28 21:58:53.106399,2026-05-28 21:58:58.056906,0 days 00:00:04.950507,0.9318020926717908,0.15819378666087358,0.010817643701461354,6,4,200,0.0015935488581704012,0.9439493283381502,0.9266706218127766,COMPLETE
68,0.6032328353609295,2026-05-28 21:58:58.057613,2026-05-28 21:59:02.311536,0 days 00:00:04.253923,0.9783875177556687,0.12400528086200435,0.038585965799571686,5,5,250,0.005270717792602939,0.7497205245118316,0.5043718958566326,COMPLETE
69,0.6325048126805888,2026-05-28 21:59:02.312118,2026-05-28 21:59:04.107262,0 days 00:00:01.795144,0.7942970770977977,0.26618844570909217,0.0131208742492074,4,2,100,0.0008226182279599182,1.1736551216481774,0.9887781237131064,COMPLETE
70,0.6305512160566886,2026-05-28 21:59:04.107850,2026-05-28 21:59:06.982414,0 days 00:00:02.874564,0.7657138650076152,0.04100877751634865,0.022973652938948198,5,3,150,0.0031244982341391767,1.036136281386651,0.8828469135825443,COMPLETE
71,0.6337987352709953,2026-05-28 21:59:06.982888,2026-05-28 21:59:10.862883,0 days 00:00:03.879995,0.8573470647337225,0.20906025342375947,0.01852133333675951,5,3,200,0.012350011858664993,1.4484860003176354,0.9655424033610019,COMPLETE
72,0.6294659403388123,2026-05-28 21:59:10.863890,2026-05-28 21:59:13.811609,0 days 00:00:02.947719,0.8630766660853776,0.33167696949565406,0.01543103463228531,5,3,150,0.007630182595574523,3.4254905733258654,0.9422089275647147,COMPLETE
73,0.6285096317595771,2026-05-28 21:59:13.812362,2026-05-28 21:59:16.788292,0 days 00:00:02.975930,0.9239419247974243,0.1842694705703702,0.021018648071713553,7,4,100,0.002014507605957942,1.715702376373067,0.9782826794612381,COMPLETE
