number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
92,0.6548899624890504,2026-05-28 11:44:09.631607,2026-05-28 11:44:14.318433,0 days 00:00:04.686826,20.0,0.3,1,13,700,COMPLETE
93,0.6548899624890504,2026-05-28 11:44:14.318916,2026-05-28 11:44:19.084370,0 days 00:00:04.765454,20.0,0.3,1,13,700,COMPLETE
94,0.6547893955609343,2026-05-28 11:44:19.084874,2026-05-28 11:44:24.145546,0 days 00:00:05.060672,20.0,0.3,1,13,750,COMPLETE
95,0.6415110335199443,2026-05-28 11:44:24.145988,2026-05-28 11:44:28.866690,0 days 00:00:04.720702,20.0,0.3,2,13,700,COMPLETE
96,0.6407440207757202,2026-05-28 11:44:28.867073,2026-05-28 11:44:36.075480,0 days 00:00:07.208407,20.0,1.0,1,11,750,COMPLETE
97,0.6459113999095369,2026-05-28 11:44:36.075868,2026-05-28 11:44:40.013264,0 days 00:00:03.937396,10.0,0.3,1,12,600,COMPLETE
98,0.6208766425373224,2026-05-28 11:44:40.013652,2026-05-28 11:44:45.225741,0 days 00:00:05.212089,20.0,0.3,3,13,800,COMPLETE
99,0.6266644438746692,2026-05-28 11:44:45.226137,2026-05-28 11:44:50.733516,0 days 00:00:05.507379,20.0,0.5,2,14,750,COMPLETE
100,0.6548899624890504,2026-05-28 11:44:50.733919,2026-05-28 11:44:55.536675,0 days 00:00:04.802756,20.0,0.3,1,13,700,COMPLETE
101,0.6548899624890504,2026-05-28 11:44:55.537167,2026-05-28 11:45:00.438183,0 days 00:00:04.901016,20.0,0.3,1,13,700,COMPLETE
102,0.6530180326599875,2026-05-28 11:45:00.438834,2026-05-28 11:45:05.206487,0 days 00:00:04.767653,20.0,0.3,1,12,700,COMPLETE
103,0.6528126115233731,2026-05-28 11:45:05.207030,2026-05-28 11:45:09.696795,0 days 00:00:04.489765,20.0,0.3,1,14,650,COMPLETE
104,0.6526670357468416,2026-05-28 11:45:09.697325,2026-05-28 11:45:15.065170,0 days 00:00:05.367845,,0.3,1,12,750,COMPLETE
